scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
screens,3,100,POST,/api/v1/auth/otp/request,2,30,1.9007999999999998,3.5234611199999994,4
screens,3,100,POST,/api/v1/top-ups,2,30,10.164354511011835,15.086041958449144,18
screens,3,100,GET,/api/v1/dev/otp/[msisdn],2,30,0.5769230769230769,1.8143999999999998,2
screens,3,100,POST,/api/v1/purchases/{orderId}/confirm,2,30,13.306064087142765,23.295416620774574,23
screens,3,100,POST,/api/v1/purchases,2,30,8.916100448255996,14.444082726174711,15
screens,3,100,GET,/health,2,19,0.5277777777777778,1.0100000000000002,1
screens,3,200,GET,/api/v1/screens/home,2,5986,2.04811165741475,5.028229195277835,37
screens,3,200,GET,/api/v1/screens/plans/{planId},2,5908,0.8833732057416268,1.193401534526854,38
screens,3,200,GET,/api/v1/screens/plans,2,5908,0.749746192893401,1.1876163768928771,19
screens,3,200,GET,/health,2,17,0.5,0.95,0
screens,3,400,GET,/api/v1/screens/plans/{planId},2,12002,0.6789997737044581,1.762337749196141,26
screens,3,400,GET,/api/v1/screens/plans,2,12000,0.6309811757282574,1.1933537832310839,43
screens,3,400,GET,/api/v1/screens/home,2,11999,1.9986970822281165,6.248927270271014,55
screens,3,400,POST,/api/v1/purchases/{orderId}/confirm,2,26,14.123103110037496,28.48696661054719,31
screens,3,400,POST,/api/v1/purchases,2,26,10.966803551354875,17.564004595028447,19
screens,3,400,POST,/api/v1/auth/otp/verify,2,25,6.088540815359997,10.476418026700795,11
screens,3,400,POST,/api/v1/auth/otp/request,2,25,2.060307692307692,5.933747404799997,7
screens,3,400,POST,/api/v1/top-ups,2,25,11.157862846674645,21.723900420166764,30
screens,3,400,GET,/api/v1/dev/otp/[msisdn],2,25,0.625,1.9295999999999998,2
screens,3,400,GET,/health,2,19,0.5277777777777778,1.0100000000000002,1
